,API,Surf_X,Surf_Y,deltaT_Dril_Comp,deltaT_Comp_Prod,Lateral_Length (ft),Depth_TVD_PPLS (ft),Erosion_PPLS (ft),Pressure_PPLS (PSI),TOC_PPLS (%),Vcarb_PPLS,Vsand_PPLS,Vclay_PPLS,PR_PPLS,YM_PPLS (PSI),RHOB_PPLS (g/cc),Res_PPLS (Ohmm),GR_PPLS (API),DT_PPLS (us/ft),DTs_PPLS (us/ft),Temperature (F),Temp_Anomaly (F),S3Tect_PPLS (PSI),S3_contrast_PPLS (PSI),Heat_Flow (W/m2),Zone,Nbr_Stages,Frac_Gradient (PSI/ft),Proppant_Designed (kg),Proppant_in_Formation (kg),Avg_Breakdown_Pressure (KPa),Avg_Treating_Pressure (KPa),Max_Treating_pressure (KPa),Min_Treating_Pressure (KPa),Avg_Rate_Slurry (bpm),Max_Rate_Slurry (bpm),Min_Rate_Slurry (bpm),ShutInPressure_Fil (KPa),ShutInPressure_Initial (KPa),ISIP (KPa),Shot_Density (shots/ft),Shot_Total,Proppant_per_ft (kg/ft),Stage_Spacing (ft)
0,633,0.201275354,-0.57732944,125.0,340.0,-0.6948255390000001,0.641631363,-0.356226988,1.410748392,0.266787184,-1.5119333940000002,1.391820007,1.096185587,-1.886859995,-0.320138609,1.849140036,0.085040042,0.601588832,-0.475649397,-1.13683197,-0.879174107,-0.425618713,0.633178502,1.126266991,-0.116027576,Z0,-0.064286019,0.032733175,-0.34486145700000004,-0.335703739,-0.290074243,0.211573201,-0.312856212,0.8592299959999999,0.908860549,0.395626722,0.667402475,-0.7163003848613388,-0.7404726690000001,0.13137383800000002,0.187081792,2.409200781,0.16013976300000002,-0.71073882
1,587,0.22260881,0.6703070729999999,30.0,427.0,-0.4795159020000001,-1.377997017,-1.812482674,1.605136238,0.8568227620000001,-0.294986441,0.6883698690000001,-1.124894376,0.310320587,-0.40972736,-1.062796514,-0.004256895,0.222622651,0.974183534,1.169449839,0.959364298,0.7462944,-0.134024595,-0.512468795,0.157581092,Z1,-1.086409818,-0.535630435,-0.8899164629999999,-0.92822845,-0.127296031,0.175862333,0.399026673,0.944673212,-0.922311201,0.8967915120000001,0.285737714,-0.919600097,-1.103957192,-1.2824637490000002,0.667339212,-0.560749524,-1.149665874,2.085648761
2,264,0.022105465,0.404386896,66.0,-44.0,0.31078247800000003,-0.7757454309999999,0.243462356,-0.136013792,0.274449984,0.651527856,-0.190942802,-0.569624385,0.8596157320000001,-0.164432253,-1.062796514,-0.027597781,0.15579094,0.673444195,1.652438288,0.555417795,0.318872509,-0.442842038,-0.753857267,0.330198079,Z1,-0.064286019,0.17360499399999998,-0.235139294,-0.225811633,0.345542175,0.7659447559999999,0.36221891,0.807368758,0.14885974400000002,-0.094971341,0.45904608,0.6141262120000001,1.029027658,1.103338988,-0.773433047,0.924225629,-0.58586878,-0.137426505
3,680,0.384358971,0.372793,123.0,352.0,-0.624507652,-1.082974181,-1.922373559,1.443630353,1.148009151,-0.024553785,0.336644801,-0.847259381,0.310320587,-0.275865009,-0.7854692240000001,-0.071392021,0.194522954,0.9517403,-0.141176893,0.718326261,0.368608874,0.357767183,-0.242636746,-0.613823451,Z1,-1.086409818,-0.150075102,-0.033855001,-0.061579253,1.168888689,0.487651433,-0.037396818,0.368356072,0.970520992,0.7559456878343207,0.332100462,-0.7822316579999999,0.450368029,-0.136075606,0.667339212,-0.560749524,0.595622169,1.887259994
4,443,-0.138513141,0.408802617,140.0,221.0,0.338785176,-0.616105744,0.556826221,-1.011425032,-0.614434782,0.786744184,-0.542667871,-0.29198939,0.8596157320000001,0.347861061,-0.854801047,-0.107028983,0.175536673,0.44003456,2.235949605,0.625235709,0.443213422,-0.634613607,-1.435096233,0.696919645,Z0,0.008722824,0.217145223,0.324900915,0.29622389600000004,0.844093953,0.556331244,0.496467439,0.568511234,0.786055891,0.985914311,0.323490237,0.4175165640121125,0.743256175,0.835686503,-1.253690467,0.181738053,0.151632803,-0.216512384
5,504,1.19295406,-1.397559348,52.0,147.0,-1.382447357,1.004671886,0.6045869739999999,-0.101647122,0.8568227620000001,0.921960512,-1.070255474,-0.569624385,0.8596157320000001,0.209434097,0.11584447,0.636679028,0.16186655,1.732764851,-0.451361744,-2.779218769,-3.708218837,0.510443885,-2.010121681,-3.334868818,Z2,-0.721365604,-0.499437214,-0.989479167,-0.988327229,-0.69436043,-0.977661547,-1.002223285,-0.293349501,1.458068678,0.8170881959999999,0.8818301820000001,-1.41494631,-1.222450086,-1.89899049,-0.773433047,0.924225629,-0.404286338,-0.265783185
6,158,-2.107471769,1.895356979,132.0,93.0,-0.084988994,-0.626789801,1.113459176,0.573328263,0.043714570539682564,0.3810952,-0.366805336,-0.014354394,0.310320587,1.335116406,0.254508116,-0.457310715,-0.21709963,-1.844686684,-0.374294211,0.1717837844758547,0.480515697,-1.475343699,1.118878825,-0.027266555343750016,Z0,,,,,,,,,,,,,,,,,,
7,581,0.404052191,-2.6142467380000003,132.0,93.0,-0.898311815,0.03449163495125398,-0.35094844,-3.288096873,0.427705978,-0.700635425,1.391820007,-0.847259381,0.310320587,1.486421302,0.462503584,-0.074616432,0.171739417,-0.7719000890000001,2.659103012,-0.27408551800000003,-0.523537182,0.370968113,-0.576493813,0.110069639,Z3,,,,,,,,,,,,,,,,,,
8,55,0.311316539,0.337037384,191.0,-150.0,-0.473915362,-0.963989815,-1.69849118,1.541359208,1.216974348,-0.024553785,0.336644801,-0.847259381,0.310320587,-0.309140314,-0.854801047,0.030056614,0.08516197199999999,0.902365185,-0.057886516,0.615261721,0.259810575,0.210677638,-0.145049948,-0.535035615,Z1,-0.35632139,0.033600078,-0.552622405,-0.536441844,1.34243561,0.61660568,0.063684802,1.004277114,-1.094386855,-1.340335655,0.239374967,-0.021115479,0.163317544,0.532959228,-1.253690467,0.181738053,-0.447449616,-0.202207958
9,275,-0.07299711099999999,0.589710399,155.0,81.0,0.361809617,-0.950945327,0.088587993,-0.441449215,-0.836655974,0.651527856,-0.366805336,-0.569624385,0.8596157320000001,0.116182914,-0.924132869,-0.095021661,0.132247951,0.588159905,2.563845628,0.861286752,0.6623642829999999,-0.838722635,-1.5567981430000002,0.732732298,Z1,0.008722824,-0.276859739,0.589999313,0.620268235,-0.601092913,0.033761219,-0.515690137,0.386982291,-0.116997141,-0.30962686300000003,0.224803817,-0.617361582,-0.202522018,-0.7604978370000001,-1.253690467,0.181738053,0.598837054,-0.203910866
